Exercise,Difficulty Level,Target Muscle Group,Primary Equipment,Body Region,Primary Exercise Classification,Video Url
EZ Bar Wide Grip Bicep Curl,Novice,Biceps,EZ Bar,Upper Body,Bodybuilding,https://youtu.be/xUdw3EtnTLM?si=6zj86RhHEsTUIlf4
Single Arm Cable Standing High Bicep Curl,Novice,Biceps,Cable,Upper Body,Bodybuilding,https://youtu.be/shIYFhPQVSo
EZ Bar Seated Overhead Tricep Extension,Novice,Triceps,EZ Bar,Upper Body,Bodybuilding,https://youtu.be/QGK3RQ_Eexc?si=2Go8XA5nbKIfwUBr
EZ Bar Standing Overhead Tricep Extension,Novice,Triceps,EZ Bar,Upper Body,Bodybuilding,https://youtu.be/99qXUnFuQdM
Barbell Thruster,Intermediate,Quadriceps,Barbell,Full Body,Bodybuilding,https://youtu.be/aea5BGj9a8Y
Bodyweight Diamond Push Up,Novice,Triceps,Bodyweight,Upper Body,Calisthenics,https://youtu.be/XtU2VQVuLYs
EZ Bar Lying Tricep Extension ,Novice,Triceps,EZ Bar,Upper Body,Bodybuilding,https://youtu.be/fUW3C1lVWkk?si=uxeyIMMcnTpM46fm
Cable Rope Overhead Tricep Extension,Novice,Triceps,Cable,Upper Body,Bodybuilding,https://youtu.be/KvrP8c6eVBc?si=1EP-aMrXRtcbPO6b
Single Arm Cable Reverse Grip Tricep Pushdown,Novice,Triceps,Cable,Upper Body,Bodybuilding,https://youtu.be/pXd8vm-ZSOA?si=8_iZ3618RVjOmu3S
EZ Bar Reverse Grip Bicep Curl,Novice,Forearms,EZ Bar,Upper Body,Bodybuilding,https://youtu.be/aIrvcBlNHBA
Stability Ball Single Arm Dumbbell Chest Press,Novice,Chest,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/EQlfrWvaU6w
Suspension Face Pull,Novice,Shoulders,Suspension Trainer,Upper Body,Unsorted*,https://youtu.be/3FVZDVJnvIA
Landmine V Grip Row,Novice,Back,Landmine,Upper Body,Bodybuilding,https://youtu.be/gnikveF7dgI
